Time,PosX,PosY,PosZ,Altitude,VelX,VelY,VelZ,AccX,AccY,AccZ,AccGX,AccGY,AccGZ,Roll,Pitch,Yaw,GyroX,GyroY,GyroZ,AngularAccX,AngularAccY,AngularAccZ,YTVC,ZTVC,PitchSetpoint,YawSetpoint,Apogee
0.0,-0.00014,0.00015,-0.00067,0.00067,-0.01447,0.01453,-0.06733,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
0.01,-0.00043,0.00044,-0.00202,0.00202,-0.02894,0.02905,-0.13466,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,0.0,0.0,0.0
0.02,-0.00087,0.00087,-0.00404,0.00404,-0.04341,0.04358,-0.20199,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0
0.03,-0.00145,0.00145,-0.00673,0.00673,-0.05788,0.0581,-0.26932,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.01
0.04,-0.00217,0.00218,-0.0101,0.0101,-0.07235,0.07263,-0.33665,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.01
0.05,-0.00304,0.00305,-0.01414,0.01414,-0.08682,0.08716,-0.40398,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.01
0.06,-0.00405,0.00407,-0.01885,0.01885,-0.10129,0.10168,-0.47131,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.02
0.07,-0.00521,0.00523,-0.02424,0.02424,-0.11577,0.11621,-0.53865,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.02
0.08,-0.00651,0.00654,-0.0303,0.0303,-0.13024,0.13073,-0.60598,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.03
0.09,-0.00796,0.00799,-0.03703,0.03703,-0.14471,0.14526,-0.67331,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.04
0.1,-0.00955,0.00959,-0.04444,0.04444,-0.15918,0.15979,-0.74064,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.04
0.11,-0.01129,0.01133,-0.05252,0.05252,-0.17365,0.17431,-0.80797,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.05
0.12,-0.01317,0.01322,-0.06127,0.06127,-0.18812,0.18884,-0.8753,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.06
0.13,-0.01519,0.01525,-0.0707,0.0707,-0.20259,0.20336,-0.94263,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.07
0.14,-0.01736,0.01743,-0.0808,0.0808,-0.21706,0.21789,-1.00996,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.08
0.15,-0.01968,0.01976,-0.09157,0.09157,-0.23153,0.23242,-1.07729,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.09
0.16,-0.02214,0.02222,-0.10302,0.10302,-0.246,0.24694,-1.14462,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.1
0.17,-0.02474,0.02484,-0.11514,0.11514,-0.26047,0.26147,-1.21195,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.12
0.18,-0.02749,0.0276,-0.12793,0.12793,-0.27494,0.27599,-1.27928,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.13
0.19,-0.03039,0.0305,-0.14139,0.14139,-0.28941,0.29052,-1.34661,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.14
0.2,-0.03343,0.03355,-0.15553,0.15553,-0.30388,0.30504,-1.41394,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.16
0.21,-0.03661,0.03675,-0.17035,0.17035,-0.31835,0.31957,-1.48127,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.17
0.22,-0.03994,0.04009,-0.18583,0.18583,-0.33283,0.3341,-1.5486,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.19
0.23,-0.04341,0.04358,-0.20199,0.20199,-0.3473,0.34862,-1.61594,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.2
0.24,-0.04703,0.04721,-0.21882,0.21882,-0.36177,0.36315,-1.68327,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.22
0.25,-0.05079,0.05099,-0.23633,0.23633,-0.37624,0.37767,-1.7506,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.24
0.26,-0.0547,0.05491,-0.25451,0.25451,-0.39071,0.3922,-1.81793,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.25
0.27,-0.05875,0.05898,-0.27336,0.27336,-0.40518,0.40673,-1.88526,0.0,0.0,-16.66667,-1.44707,1.45259,-6.73306,-0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.27
